address,area,city,hotel_description,hotel_facilities,hotel_star_rating,latitude,longitude,property_name,property_type,room_facilities,state
"9th Mile, Kalimpong",Rishi Road-Highway 12,Kalimpong,"Hotel Jiwan Jyoti, Kalimpong is an ultimate stopover for tourists on the roads of the city. Several quality services, gratifying staff and comforting rooms make this hotel an obvious pick. Each day brings along a lifetime experience for the guests who dream to savor a memorable stay. The authorities ensure a meaningful encounter by looking after every demand of the residents in the best way. LocationLocated in Kalimpong, the hotel connects smoothly with places of local interest. Few of them are Padmaja Naidu Himalayan Zoological Park (6km), Bengal Natural History Museum (9km), Modern art museum (10km), Chittaranjan Das Memorial (Step Aside) (4km), Tenzing Rock (6km), Tiger Hill (21km), Navin Gram (13km) and Rock Garden (15km). Bagdogra Airport- 80km (approx.)Jalpaiguri Railway Station- 119km(approx.)Shamoli Bus Stand- 73km (approx.)FacilitiesTravel Desk, Laundry, Parking and Reception are some quintessential services presented at the hotel. A travel desk has been set up to support the vacationers with relevant travel guidance. Provision of expertise laundry is served to the residents during the times of need. With ample space, guests get to park their wheels under sound security. A compassionate and lively reception looks after the needs and demands of the guests without fail. RoomsHotel Jiwan Jyoti has a total of 9 Standard Room to serve for lodging. Instead of showcasing unnecessary frills, the rooms possess most sober and refined furnishings. Every room has an attached bathroom and is gifted with flawless room service.",Travel:Travel Desk|Parking|Free Parking|Personal Services:Laundry|No Category:Front Desk|Basics:Housekeeping|Basic Room Amenities:Wake-Up Call Service,1 Star hotel,,,Hotel Jivan Jyoti,Hotel,Toiletries | Luggage Rack | Private Bathroom,WestBengal
"New Kalimati Road, Kasidih, Sakchi",,Jamshedpur,Retire to the beautiful rooms of OYO Premium Kalimati Road Jamshedpur after an arduous journey. Guests can host meetings in the conference hall or organise events in the banquet hall. They can relish meals in the dining area or unwind in the bar.,Food &amp; Beverage:Bar|Restaurant|Basics:Internet|Air Conditioning|Lift|Doorman|Housekeeping|Complimentary Wi-Fi access|Banquet Facility|24 Hour Power Supply|Personal Services:24 Hour Front Desk|Laundry|Room Service|Dry Cleaning|Recreation:Gym|Travel:Parking|Hotel Amenities:24-Hour Security|Business Services:Conference Hall|Fax|Photocopy,3 Star hotel,22.801045,86.21008,OYO Premium Kalimati Road Jamshedpur,,Air Conditioning | Television | Toiletries Intercom | Wake-Up Call Service | Writing Desk / Study Table,Jharkhand
"Opposite Nagarpalika, Near Pushkarna Bera, Postal Colony",,Jaisalmer,OYO Rooms Bera Road in Jaisalmer has a royal charm and traditional interiors. The in-house restaurant has a pleasant ambience for relishing delicious meals. Guests can shop for Rajasthani textiles and craftwork at the close-by National Handloom.,Basics:Internet|Air Conditioning|Doorman|Housekeeping|Complimentary Wi-Fi access|24 Hour Power Supply|Food &amp; Beverage:Restaurant|Personal Services:24 Hour Front Desk|Laundry|Room Service|Currency Exchange|Dry Cleaning|Travel:Parking|Hotel Amenities:24-Hour Security|Business Services:Fax|Photocopy,3 Star hotel,26.90359,70.91241,OYO Rooms Bera Road,,Air Conditioning | Television | Refrigerator Intercom Flat Screen Television | Wake-Up Call Service,Rajasthan
"11-3-11 Veterinary Hospital road,Ramarao peta",Cinema Road,Kakinada,"Situated in quite part of the city yet close to central business district, this is modern hotel caters to upscale business and leisure travellers. Contemparary in design and incorporating the latest in technology. the hotel sets new levels of hospitality in this important commercial city.",Food &amp; Beverage:Bar|Restaurant|Coffee Shop|Business Services:Business Center|Meeting Facility|Board Room|Printer|Fax|Photocopy|Scanner|Basics:Internet|Air Conditioning|Lift|Non-Smoking Rooms|Express Check-In|Express Check-Out|Housekeeping|Complimentary Wi-Fi access|Banquet Facility|Doctor on Call|24 Hour Power Supply|Travel:Travel Desk|Parking|Bus Parking|Free Parking|Outdoor Parking|Porter|Transportation Service|Valet Parking|Car Rental|Taxi Service|Personal Services:24 Hour Front Desk|24 Hour Room Service|Laundry|Room Service|Dry Cleaning|Recreation:Gym|Outdoor Swimming Pool|Hotel Amenities:24-Hour Security|Concierge,3 Star hotel,16.964426,82.231619,Grand Kakinada by GRT Hotels,Hotel,Air Conditioning| Television| Iron| Mini Bar| Safe | Telephone | Mineral Water Toiletries Mirror Hangers Shower Table Lamp | Tea / Coffee maker,AndhraPradesh
"Near Fort First Gate, Dhibbapara",Near Jaisalmer Golden Fort,Jaisalmer,"Hotel Gorakh Haveli, Jaisalmer, with hospitality at its best and services beyond expectations is a great haunt for tourists on a trip to the desert city. Well-placed and equipped with modern amenities, artistically designed rooms and freedom for choicest cuisines, this traditional manor is one of the favoured resting places.Location: Located near Fort First Gate, Dhibbapara, Hotel Gorakh Haveli is in proximity to tourist attraction such as Government Museum (Approx. 2km) and Hanuman Temple (Approx. 1km). The Government Museum formed in 1984 exhibits a fine collection of marine and wood fossils of the prehistoric age, rarest sculptures from Kiradu and Lodurva townships and many fossil records of invertebrates and vertebrates. Folklore Museum, Mool Sagar and Amar Sagar Lake are some of the not-to-be-missed destinations in the city. Distance from Jaisalmer Airport: Approx. 5kmsDistance from Jaisalmer Railway Station: Approx. 3kmsHotel Features: The hotel provides a wide array of services to its guests. Room service, Internet, 24-hour front desk, 24-hour room service, air conditioning, parking, travel desk, 24-hour security, parking and doctor-on-call are some of the basal services. Non-smoking rooms for convenience and catering services for private events are some of the enhanced features of this hotel. The calm ambience of the Lounge is just ideal for unwinding. The rooftop restaurant overlooking the regal historic Jaisalmer Fort is the site for delectable foodstuffs throughout the day.Rooms: The deluxe rooms and super deluxe rooms at Hotel Gorakh Haveli are totally air conditioned. Truly traditional in appearance and simply gorgeous in style, these rooms are also fitted with contemporary amenities like colour television and telephone.",Basics:Internet|Air Conditioning|Non-Smoking Rooms|Doorman|Female Traveler Room|Housekeeping|Complimentary Wi-Fi access|Doctor on Call|Food &amp; Beverage:Restaurant|Lounge|Travel:Travel Desk|Parking|Bus Parking|Free Parking|Outdoor Parking|Transportation Service|Personal Services:24 Hour Front Desk|24 Hour Room Service|Laundry|Room Service|Butler Service|Hotel Amenities:24-Hour Security|Catering Service|Executive Level / Floor|No Category:Free Newspaper|Front Desk|Phone Service|Basic Room Amenities:Wake-Up Call Service,3 Star hotel,26.916311,70.908312,Hotel Gorakh Haveli,Hotel,Television| Internet / Broadband| Telephone| Wi-Fi Access on Charge | Air Conditioning | Newspaper Bathtub Bathrobe Bedside Lamp Ceiling Fan Music System Toiletries | Intercom | Private Bathroom,Rajasthan
"High Court Colony, Jodhpur. Rajasthan (India).",Ratanada Petrol Pump,Jodhpur,"Mohan Niwas, Jodhpur, was built by Maharaj Madan Singh (belonging to the Maharajah family of Jodhpur) in 1980. Exuding colonial accents, Mohan Niwas is synonymous to pleasant home stay where home cooked meals and a warm atmosphere awaits the travellers. LocationGuests staying at Mohan Niwas can visit Jodhpur attractions like Mehrangarh Fort (5 km approx.), Umaid Bhawan Palace (4 km approx.), Jaswant Thada (5 km approx.) and Clock tower (2 km approx.).Distance from Jodhpur Airport: 6 km (approx.)Distance from Railway Station: 2 km (approx.)FeaturesApart from a delightful ambiance and hospitality, Mohan Niwas provides its guests with various amenities and facilities like taxi services, pick-up on prior request, laundry and dry cleaning, doctor on call, multi-cuisine kitchen, internet services for surfing and e-mail, home library, jodhpur sightseeing, jeep safari, Temple Village Osian excursion, group lunches and dinners and Rajasthani cuisine cooking demo-classes on prior booking. RoomsFrom a 9 bedroom house, Mohan Niwas lets out 5 rooms during the tourist season, for its guests. Guests at Mohan Niwas are offered finely furnished Deluxe rooms with superior accent and fitted with modern amenities.",Basics:Internet|Air Conditioning|Complimentary Wi-Fi access|Doctor on Call|Food &amp; Beverage:Restaurant|Travel:Travel Desk|Parking|Free Parking|Outdoor Parking|Personal Services:Laundry|Hotel Amenities:24-Hour Security|No Category:Front Desk|Phone Service|Basic Room Amenities:Wake-Up Call Service,1 Star hotel,26.284648,73.016223,Mohan Niwas,,Private Bathroom| Luggage Rack | Writing Desk / Study Table | Bedside Lamp Ceiling Fan Toiletries Mirror Hangers In-Room Menu Laundry Bag Table Lamp Temperature Control Windows Open | Free Wi-Fi | Air Conditioning | Internet / Broadband,Rajasthan
"SCO 44 - 45, New Grain Market, Kalka",Near Kalka Railway Station,Kalka,"Hotel Navrang, Kalka is a polished property that pleases the vacationers with quality services and cozy environment. The hotel exhibit vibrant dcor and is tastefully designed for lodgers to feel luxurious. The hotel allows the guests to indulge in endless shopping with its shopping arcade and provides large basement area for organizing parties and functions. Its calming ambience makes it perfect for leisure travelers. LocationThe hotel stands tall in Panchkula district, Kalka and favors vicinity to some of the tourist attractions of the city such as Balaji Mandir 3 km (approx.), Kali Mata Temple 1 km (approx.), Yadavindra Garden 8 km (approx.) and Bhima Devi Temple 8 km (approx.). Chandigarh Airport- 29 km (approx.)Kalka Railway Station- 0.5 km (approx.)Bus Stand Kalka- 2 km (approx.)FacilitiesSome remarkable facilities provided by the hotel include 24-hour room service, direct dial facility, doctor on call, laundry, travel desk, shopping arcade, basic first aid, pick-up and drop facility, car/taxi/bus on hire, parking and basement for parties. Travelers can enjoy shopping at the shopping arcade of the hotel. The basement of the hotel is 3000 sq. feet in area and hence perfect for parties and functions. Pick up and drop facility and car hire service makes the commutation in the city very convenient. Doctor on call assures good health of the travelers. RoomsThe hotel has three kinds of occupancies, Super Deluxe Rooms, Deluxe Rooms and Family Super Deluxe Rooms. The rooms are stylish and effervescent in dcor. They feature vibrant interior and make the stay colorful. Each room has a LCD TV with satellite channels. The bathrooms are well designed with telephonic showers and have hot and cold water supply.",Personal Services:24 Hour Front Desk|24 Hour Room Service|Laundry|Room Service|Hotel Amenities:ATM / Cash Machine|Travel:Parking|No Category:Front Desk|Phone Service|Basics:Doctor on Call,2 Star hotel,30.837324,76.93405,Hotel Navrang Kalka,Hotel,Television | Private Bathroom,Haryana
"2-18 A6, Near Seashore",Near Vivekananda Rock Memorial,Kanyakumari,"Perched near the famous Kanyakumari beach, Hotel Gopi Nivas Grand is an ideal accommodation for leisure travellers. The contemporary amenities, cosy rooms and easy access to the railway station further accentuate one's overall stay.",Basics:Internet|Air Conditioning|Doorman|Housekeeping|Wi-Fi on Charge|Doctor on Call|Food &amp; Beverage:Restaurant|Lounge|Travel:Travel Desk|Parking|Transportation Service|Valet Parking|Personal Services:24 Hour Front Desk|Laundry|Room Service|Hotel Amenities:24-Hour Security|No Category:Front Desk|Phone Service|Recreation:Massage Centre,3 Star hotel,8.082693,77.551019,Hotel Gopi Nivas Grand,Hotel,Iron| Safe| Telephone | Television | Ceiling Fan Flat Screen Television Hangers Laundry Bag | Satellite Television | Private Bathroom | Luggage Rack,TamilNadu
"90, 1st Polo, Mandar Road, in Front of Suncity Hospital, Jodhpur",Paota,Jodhpur,"Polo Inn Guest House, Jodhpur is a perfect accommodation destination for global travellers coming to the Sun City. The hotel lies in vicinity to famous places like Mandore and Mehrangarh Fort. Well-appointed rooms and all basic amenities assure a comfortable experience to the guests. Hospitality offered and the secured ambiance makes for a memorable stay. LocationLocated at Mandore road, near Paota bus stand in Jodhpur, the hotel offers easy access to the famed palaces and forts of the city like Mehrangarh Fort 3 km (approx.), Mandore 6 km (approx.), Umaid Bhawan Palace Museum 4 km (approx.), Ghanta Ghar, Jodhpur 3 km (approx.), Jaswant Thada 3 km (approx.) and Nehru Park Jodhpur 5 km (approx.)Jodhpur Airport- 6 km (approx.)Jodhpur Railway Station- 1 km (approx.)Paota Bus Stand- 2 km (approx.)FacilitiesThe hotel offers the guests with facilities like 24-hour power backup, round the clock hot and cold water supply, air-conditioned premises via split AC, taxi availability for sightseeing and doctor on call. Guests can have an unforgettable time traveling in this historical city, as they can conveniently hire taxi for sightseeing. 24-hour power back assures the guests a relaxed and refreshing vacation. Air-conditioned rooms make the stay even more worthwhile. Rooms Categorized into four, Air cooled Room, AC Room Standard, AC Room Semi Deluxe and AC Room Deluxe, the hotel offers neat and clean rooms. The rooms are well-furnished with 32 inch LCD TV, double bed, mirror, sofa, almirah and chair. Attached bathrooms of the rooms are equipped with latest amenities to make the stay pleasurable.",Travel:Travel Desk|No Category:Front Desk|Basic Room Amenities:Wake-Up Call Service|Basics:Doctor on Call,,26.29887535,73.03836666,Polo Inn Guest House,Guest House,Television | Air Conditioning | Private Bathroom,Rajasthan
"Opp: Petrol Pump Vaishno Devi, Katra",Reasi Road,Katra,"Hotel the Vaishnodevi, Katra offers premium services, cordial ambience and gratifying hospitality. The hotel houses luxuriously designed rooms and a string of contemporary amenities for the relaxed stay of business and leisure guests alike. Enjoying proximity to Vaishnodevi temple, this hotel is also ideal for pilgrims who want to explore the city of temples to the fullest. Location: Hotel The Vaishnodevi is located opp. petrol pump, Vaishno Devi. Himkoti (Approx. 2kms) and Raghunath temple (approx. 1kms) are the prominent places of visit that surround the hotel. Himkoti is an ideal destination for those who want to experience serenity and beauty of nature. Some other exciting places of visit include Charanpaduka, Vaishno Devi temple and Jhajjar Kotli.Distance from Jammu Airport: Approx. 50kmsDistance from Shri Mata Vaishno Devi Katra Railway Station: Approx. 2kmsHotel Features: The hotel provides an array of facilities for the guests to be very comfortable. Massage services are provided to the guests, which helps them rejuvenate their body and soul. Perfect arrangements for business meetings and corporate seminars can be made in the well designed conference rooms fitted with audio-visual equipments and LCD/projectors. The hotel houses a gift shop, which has a collection of gift items to be gifted on various occasions. The range essential services like 24-hour room service, parking, travel desk, 24-hour front desk and doctor on call are provided for the complete convenience of the guests. Guests can savour North Indian, South Indian, Chinese and Continental food at an exclusive dining hall during the stay. Rooms: The hotel houses a variety of rooms, such as royal suites, executive rooms, family rooms and honeymoon suites. The cosy appeal of the rooms with the mesmerising view of lush greenery and mountains ensures a pleasant stay. All the rooms are equipped with amenities, such as air conditioning, colour television, internet access, refrigerator, safe, telephone and in-room menu.",Basics:Internet|Air Conditioning|Adjoining Rooms|Interconnecting Rooms|Doorman|Housekeeping|Wi-Fi on Charge|Banquet Facility|Doctor on Call|Food &amp; Beverage:Restaurant|Travel:Travel Desk|Parking|Free Parking|Outdoor Parking|Porter|Transportation Service|Personal Services:24 Hour Front Desk|24 Hour Room Service|Laundry|Room Service|No Category:Conference facilities|Conference suite|Free Newspaper|Front Desk|Phone Service|Hotel Amenities:24-Hour Security|Gift Shop|Recreation:Indoor Games|Massage Centre|Basic Room Amenities:Wake-Up Call Service|Business Services:Meeting Room,3 Star hotel,32.988559,74.923236,Hotel The Vaishnodevi,Hotel,Air Conditioning| Television| Internet / Broadband| Safe| Telephone| Phone Line | Wi-Fi Access on Charge | Newspaper Refrigerator Bathtub Ceiling Fan Fruit Basket Toiletries Hangers In-Room Menu Laundry Bag Satellite Television | Wooden Floor | Private Bathroom Balcony / Sit Out Area | Luggage Rack,JammuandKashmir
